#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-29.6777153015 66.1608276367 -8.2686061859 11.5563344955 0.0000000000 0.0000000000 -0.0010307789 0.0328233764
-29.1655845642 65.4990997314 -8.2828197479 11.5114994049 0.0000000000 0.0000000000 -0.0029287527 0.0609056540
-28.6555519104 64.8423843384 -8.2759866714 11.5298023224 0.0000000000 0.0000000000 -0.0030038010 0.0707402527
-28.1515922546 64.1905441284 -8.2629623413 11.5620403290 0.0000000000 0.0000000000 -0.0032162599 0.0834015086
-27.6560573578 63.5435562134 -8.2495841980 11.6011247635 0.0000000000 0.0000000000 -0.0046035848 0.0959078074
-27.1690959930 62.9016265869 -8.2390661240 11.6344461441 0.0000000000 0.0000000000 -0.0057349177 0.1058411896
-26.6899356842 62.2650527954 -8.2333517075 11.6554813385 0.0000000000 0.0000000000 -0.0060357116 0.1185523272
-26.2177543640 61.6341285706 -8.2287817001 11.6744527817 0.0000000000 0.0000000000 -0.0059805606 0.1332631707
-25.7517986298 61.0091209412 -8.2230329514 11.6966333389 0.0000000000 0.0000000000 -0.0058920919 0.1447412670
-25.2915573120 60.3901138306 -8.2188653946 11.7151899338 0.0000000000 0.0000000000 -0.0060757063 0.1555648893
-24.8368606567 59.7770118713 -8.2129354477 11.7362928391 0.0000000000 0.0000000000 -0.0067112800 0.1687183380
-24.3877029419 59.1700248718 -8.2051305771 11.7486104965 0.0000000000 0.0000000000 -0.0075976374 0.1816134453
-23.9442024231 58.5694389343 -8.1944608688 11.7547140121 0.0000000000 0.0000000000 -0.0081290519 0.1924723834
-23.5066051483 57.9755020142 -8.1796770096 11.7651844025 0.0000000000 0.0000000000 -0.0084770508 0.2033067048
-23.0749034882 57.3884162903 -8.1672210693 11.7728633881 0.0000000000 0.0000000000 -0.0087710349 0.2151868790
-22.6489601135 56.8083915710 -8.1584281921 11.7812528610 0.0000000000 0.0000000000 -0.0090499958 0.2264116853
-22.2286872864 56.2360877991 -8.1527032852 11.7889976501 0.0000000000 0.0000000000 -0.0094110817 0.2362612337
-21.8136730194 55.6711082458 -8.1400375366 11.8001413345 0.0000000000 0.0000000000 -0.0096928468 0.2463338375
-21.4034080505 55.1130790710 -8.1187334061 11.8113918304 0.0000000000 0.0000000000 -0.0097607505 0.2565319836
-20.9975242615 54.5618743896 -8.0847969055 11.8251218796 0.0000000000 0.0000000000 -0.0097094728 0.2657200396
-20.5962524414 54.0183448792 -8.0382204056 11.8388252258 0.0000000000 0.0000000000 -0.0096463086 0.2741576433
-20.1996994019 53.4829635620 -7.9930558205 11.8533449173 0.0000000000 0.0000000000 -0.0095408810 0.2832724452
-19.8080501556 52.9561119080 -7.9445495605 11.8733215332 0.0000000000 0.0000000000 -0.0093690846 0.2931981385
-19.4214782715 52.4380760193 -7.8915948868 11.8964700699 0.0000000000 0.0000000000 -0.0090454556 0.3034947217
-19.0399742126 51.9288673401 -7.8337635994 11.9226970673 0.0000000000 0.0000000000 -0.0088069569 0.3139933050
-18.6633682251 51.4284324646 -7.7680430412 11.9537324905 0.0000000000 0.0000000000 -0.0086893765 0.3247701228
-18.2916336060 50.9367790222 -7.6866521835 11.9927825928 0.0000000000 0.0000000000 -0.0085659875 0.3358609676
-17.9246501923 50.4534950256 -7.5847792625 12.0437221527 0.0000000000 0.0000000000 -0.0085596442 0.3473685682
-17.5620574951 49.9770812988 -7.4794306755 12.0997438431 0.0000000000 0.0000000000 -0.0086556580 0.3593885303
-17.2034797668 49.5063133240 -7.3840994835 12.1596689224 0.0000000000 0.0000000000 -0.0088515580 0.3717112541
-16.8488922119 49.0408706665 -7.2927637100 12.2213230133 0.0000000000 0.0000000000 -0.0091157630 0.3844034374
-16.4983253479 48.5806694031 -7.1987705231 12.2840795517 0.0000000000 0.0000000000 -0.0094802547 0.3973223865
-16.1519756317 48.1256408691 -7.0979151726 12.3493347168 0.0000000000 0.0000000000 -0.0098615717 0.4107071459
-15.8099718094 47.6757240295 -6.9875040054 12.4174509048 0.0000000000 0.0000000000 -0.0099785514 0.4241522849
-15.4725084305 47.2308120728 -6.8691916466 12.4851665497 0.0000000000 0.0000000000 -0.0098535595 0.4376910329
-15.1399240494 46.7906379700 -6.7328248024 12.5603399277 0.0000000000 0.0000000000 -0.0094026020 0.4518978894
-14.8128299713 46.3548278809 -6.5814714432 12.6400060654 0.0000000000 0.0000000000 -0.0087411888 0.4671987593
-14.4919376373 45.9228134155 -6.4160900116 12.7247018814 0.0000000000 0.0000000000 -0.0079766177 0.4831957221
-14.1778812408 45.4940223694 -6.2444148064 12.8052873611 0.0000000000 0.0000000000 -0.0074862670 0.4998936355
-13.8710632324 45.0679626465 -6.0752058029 12.8724555969 0.0000000000 0.0000000000 -0.0074742488 0.5177785158
-13.5715894699 44.6442642212 -5.9070315361 12.9224786758 0.0000000000 0.0000000000 -0.0079330849 0.5378671885
-13.2794237137 44.2229347229 -5.7462930679 12.9493579865 0.0000000000 0.0000000000 -0.0085586431 0.5599691272
-12.9943914413 43.8040390015 -5.5910530090 12.9562721252 0.0000000000 0.0000000000 -0.0091592958 0.5836242437
-12.7162427902 43.3876533508 -5.4408802986 12.9494962692 0.0000000000 0.0000000000 -0.0095439525 0.6084848046
-12.4448432922 42.9738464355 -5.2957954407 12.9318647385 0.0000000000 0.0000000000 -0.0097882599 0.6341535449
-12.1800184250 42.5628089905 -5.1543383598 12.9059085846 0.0000000000 0.0000000000 -0.0098430105 0.6599578261
-11.9215974808 42.1547546387 -5.0169644356 12.8717842102 0.0000000000 0.0000000000 -0.0098682493 0.6855839491
-11.6694402695 41.7500114441 -4.8860359192 12.8310937881 0.0000000000 0.0000000000 -0.0099198613 0.7109043002
-11.4232778549 41.3488693237 -4.7625803947 12.7821578979 0.0000000000 0.0000000000 -0.0099129174 0.7357153893
-11.1827621460 40.9517593384 -4.6440405846 12.7253341675 0.0000000000 0.0000000000 -0.0099161221 0.7599503398
-10.9475183487 40.5590286255 -4.5314817429 12.6643619537 0.0000000000 0.0000000000 -0.0098842066 0.7835372090
-10.7172851562 40.1708374023 -4.4239387512 12.5976696014 0.0000000000 0.0000000000 -0.0098205088 0.8062455654
-10.4917411804 39.7874488831 -4.3200635910 12.5247201920 0.0000000000 0.0000000000 -0.0097841201 0.8280164003
-10.2704410553 39.4091491699 -4.2176394463 12.4480600357 0.0000000000 0.0000000000 -0.0099822897 0.8490917087
-10.0531530380 39.0360565186 -4.1159567833 12.3684043884 0.0000000000 0.0000000000 -0.0105854142 0.8697944283
-9.8396568298 38.6683692932 -4.0144038200 12.2861633301 0.0000000000 0.0000000000 -0.0115643134 0.8898931742
-9.6296567917 38.3062934875 -3.9114782810 12.2047863007 0.0000000000 0.0000000000 -0.0128042130 0.9096809626
-9.4230136871 37.9499969482 -3.8056912422 12.1228418350 0.0000000000 0.0000000000 -0.0141536128 0.9292389750
-9.2196798325 37.5994491577 -3.6972658634 12.0405025482 0.0000000000 0.0000000000 -0.0154404510 0.9486188889
-9.0195026398 37.2546195984 -3.5893025398 11.9578046799 0.0000000000 0.0000000000 -0.0164480601 0.9679027200
-8.8224248886 36.9155273438 -3.4802486897 11.8691692352 0.0000000000 0.0000000000 -0.0172013473 0.9871754050
-8.6284542084 36.5821571350 -3.3708646297 11.7780256271 0.0000000000 0.0000000000 -0.0178291090 1.0063040257
-8.4374914169 36.2544021606 -3.2622427940 11.6857624054 0.0000000000 0.0000000000 -0.0184933264 1.0253973007
-8.2494602203 35.9322586060 -3.1534743309 11.5960454941 0.0000000000 0.0000000000 -0.0192032810 1.0442411900
-8.0644187927 35.6156578064 -3.0437412262 11.5098075867 0.0000000000 0.0000000000 -0.0198765118 1.0626969337
-7.8824601173 35.3045501709 -2.9339413643 11.4283714294 0.0000000000 0.0000000000 -0.0203380194 1.0808312893
-7.7035307884 34.9989433289 -2.8262298107 11.3526153564 0.0000000000 0.0000000000 -0.0204718914 1.0984753370
-7.5276074409 34.6987266541 -2.7201189995 11.2811393738 0.0000000000 0.0000000000 -0.0203171205 1.1156595945
-7.3547229767 34.4037666321 -2.6188118458 11.2142181396 0.0000000000 0.0000000000 -0.0200424325 1.1326048374
-7.1848621368 34.1139640808 -2.5194499493 11.1529951096 0.0000000000 0.0000000000 -0.0197178032 1.1490768194
-7.0180544853 33.8290596008 -2.4212067127 11.0940809250 0.0000000000 0.0000000000 -0.0194294266 1.1649888754
-6.8544354439 33.5488395691 -2.3232707977 11.0373725891 0.0000000000 0.0000000000 -0.0191623513 1.1803984642
-6.6940040588 33.2732353210 -2.2263488770 10.9827556610 0.0000000000 0.0000000000 -0.0188595541 1.1952160597
-6.5367827415 33.0021553040 -2.1294052601 10.9290199280 0.0000000000 0.0000000000 -0.0185662378 1.2091493607
-6.3829569817 32.7354431152 -2.0355451107 10.8769245148 0.0000000000 0.0000000000 -0.0183993839 1.2220803499
