#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
92.8133850098 117.9744644165 -10.9858675003 25.4902114868 0.0000000000 0.0000000000 0.0060469564 0.1484693140
91.7580871582 116.8826675415 -11.4318504333 24.3916015625 0.0000000000 0.0000000000 0.0112748584 0.2712603509
90.7051773071 115.8047714233 -12.1916589737 23.2570724487 0.0000000000 0.0000000000 0.0160186030 0.3865215182
89.6564025879 114.7410430908 -12.8076248169 22.3765277863 0.0000000000 0.0000000000 0.0207451470 0.4955088496
88.6107254028 113.6921920776 -13.3015346527 21.6957244873 0.0000000000 0.0000000000 0.0255647581 0.5986625552
87.5693359375 112.6577301025 -13.7234153748 21.1564750671 0.0000000000 0.0000000000 0.0306124762 0.6971222758
86.5335083008 111.6372375488 -14.0926275253 20.7547855377 0.0000000000 0.0000000000 0.0358849987 0.7910097837
85.5053253174 110.6297607422 -14.4316110611 20.4712162018 0.0000000000 0.0000000000 0.0414035767 0.8809664249
84.4856567383 109.6349716187 -14.7307376862 20.2724857330 0.0000000000 0.0000000000 0.0470791794 0.9672332406
83.4756774902 108.6524581909 -14.9817695618 20.1459369659 0.0000000000 0.0000000000 0.0527916774 1.0500957966
82.4751358032 107.6828079224 -15.1907997131 20.0797882080 0.0000000000 0.0000000000 0.0585058369 1.1298158169
81.4836959839 106.7261581421 -15.3579711914 20.0617351532 0.0000000000 0.0000000000 0.0641149953 1.2066503763
80.5018157959 105.7825164795 -15.4897994995 20.0785312653 0.0000000000 0.0000000000 0.0696390569 1.2807632685
79.5311508179 104.8508224487 -15.5941638947 20.1270542145 0.0000000000 0.0000000000 0.0751588419 1.3523291349
78.5724563599 103.9306945801 -15.6691932678 20.1966896057 0.0000000000 0.0000000000 0.0807535350 1.4215325117
77.6261596680 103.0217971802 -15.7194585800 20.2747573853 0.0000000000 0.0000000000 0.0863301679 1.4885258675
76.6922760010 102.1240234375 -15.7436609268 20.3540782928 0.0000000000 0.0000000000 0.0919266194 1.5534199476
75.7711791992 101.2369461060 -15.7467670441 20.4259338379 0.0000000000 0.0000000000 0.0974817574 1.6161952019
74.8626937866 100.3603210449 -15.7325096130 20.4934272766 0.0000000000 0.0000000000 0.1029634103 1.6769214869
73.9665603638 99.4940261841 -15.7014493942 20.5572433472 0.0000000000 0.0000000000 0.1083125770 1.7357263565
73.0812759399 98.6386260986 -15.6552991867 20.6120223999 0.0000000000 0.0000000000 0.1135420278 1.7926641703
72.2073516846 97.7934570312 -15.5986394882 20.6561927795 0.0000000000 0.0000000000 0.1186225340 1.8478156328
71.3456268311 96.9574661255 -15.5286741257 20.6867046356 0.0000000000 0.0000000000 0.1235344559 1.9012318850
70.4966354370 96.1299896240 -15.4483757019 20.7070732117 0.0000000000 0.0000000000 0.1282630265 1.9530490637
69.6603012085 95.3108673096 -15.3594884872 20.7203273773 0.0000000000 0.0000000000 0.1327971518 2.0034043789
68.8375930786 94.4989852905 -15.2591629028 20.7228717804 0.0000000000 0.0000000000 0.1370886862 2.0524039268
68.0275650024 93.6949691772 -15.1484527588 20.7162475586 0.0000000000 0.0000000000 0.1412303597 2.1002092361
67.2308502197 92.8982162476 -15.0348052979 20.6981353760 0.0000000000 0.0000000000 0.1451795399 2.1468806267
66.4479293823 92.1081466675 -14.9228849411 20.6719131470 0.0000000000 0.0000000000 0.1489558965 2.1925344467
65.6779251099 91.3250885010 -14.8110551834 20.6407451630 0.0000000000 0.0000000000 0.1525556892 2.2372376919
64.9210739136 90.5488281250 -14.7012672424 20.6070957184 0.0000000000 0.0000000000 0.1559615284 2.2811000347
64.1776351929 89.7789993286 -14.5959968567 20.5743522644 0.0000000000 0.0000000000 0.1592214406 2.3242924213
63.4471740723 89.0155868530 -14.4925632477 20.5429134369 0.0000000000 0.0000000000 0.1623536944 2.3669404984
62.7293968201 88.2584991455 -14.3912858963 20.5104179382 0.0000000000 0.0000000000 0.1654121280 2.4090509415
62.0230484009 87.5083160400 -14.2880105972 20.4773025513 0.0000000000 0.0000000000 0.1684141308 2.4506611824
61.3269844055 86.7655105591 -14.1800003052 20.4414978027 0.0000000000 0.0000000000 0.1713834107 2.4918947220
60.6402626038 86.0303955078 -14.0710134506 20.4048652649 0.0000000000 0.0000000000 0.1743578613 2.5327141285
59.9629898071 85.3027038574 -13.9591169357 20.3671283722 0.0000000000 0.0000000000 0.1773487031 2.5731127262
59.2957305908 84.5818023682 -13.8453340530 20.3308544159 0.0000000000 0.0000000000 0.1803369671 2.6131379604
58.6388778687 83.8673629761 -13.7302942276 20.2962455750 0.0000000000 0.0000000000 0.1833087206 2.6527850628
57.9922027588 83.1594085693 -13.6161317825 20.2615432739 0.0000000000 0.0000000000 0.1862991154 2.6920709610
57.3555488586 82.4577713013 -13.5055809021 20.2294807434 0.0000000000 0.0000000000 0.1892995089 2.7310450077
56.7277069092 81.7631149292 -13.3997688293 20.1966037750 0.0000000000 0.0000000000 0.1922927499 2.7696878910
56.1085357666 81.0752105713 -13.2914752960 20.1618061066 0.0000000000 0.0000000000 0.1952553391 2.8080251217
55.4977607727 80.3940048218 -13.1823482513 20.1234054565 0.0000000000 0.0000000000 0.1981746405 2.8461282253
54.8948669434 79.7196121216 -13.0766029358 20.0857124329 0.0000000000 0.0000000000 0.2010515928 2.8839511871
54.2993316650 79.0521392822 -12.9763908386 20.0485839844 0.0000000000 0.0000000000 0.2039186805 2.9215152264
53.7106323242 78.3917388916 -12.8805999756 20.0103263855 0.0000000000 0.0000000000 0.2067815512 2.9588668346
53.1288375854 77.7381820679 -12.7914142609 19.9723854065 0.0000000000 0.0000000000 0.2096497267 2.9960694313
52.5533561707 77.0914916992 -12.7052240372 19.9313488007 0.0000000000 0.0000000000 0.2125182599 3.0331017971
51.9844436646 76.4513854980 -12.6200447083 19.8888893127 0.0000000000 0.0000000000 0.2153590173 3.0700047016
51.4225387573 75.8174362183 -12.5357084274 19.8443679810 0.0000000000 0.0000000000 0.2181601524 3.1067445278
50.8682403564 75.1892166138 -12.4549255371 19.8000831604 0.0000000000 0.0000000000 0.2209485620 3.1433079243
50.3228340149 74.5659103394 -12.3750276566 19.7600536346 0.0000000000 0.0000000000 0.2236777544 3.1796925068
49.7870140076 73.9469299316 -12.2954416275 19.7195091248 0.0000000000 0.0000000000 0.2263217419 3.2158641815
49.2604408264 73.3324127197 -12.2153158188 19.6784019470 0.0000000000 0.0000000000 0.2288669944 3.2518444061
48.7435188293 72.7219390869 -12.1363801956 19.6381092072 0.0000000000 0.0000000000 0.2313085198 3.2876005173
48.2351799011 72.1161422729 -12.0566940308 19.5967922211 0.0000000000 0.0000000000 0.2336352915 3.3231575489
47.7342414856 71.5156402588 -11.9746484756 19.5548973083 0.0000000000 0.0000000000 0.2358638048 3.3584797382
47.2398147583 70.9207992554 -11.8916149139 19.5151386261 0.0000000000 0.0000000000 0.2379704714 3.3934943676
46.7507019043 70.3321609497 -11.8101434708 19.4768066406 0.0000000000 0.0000000000 0.2399704307 3.4281268120
46.2667236328 69.7494812012 -11.7234849930 19.4353637695 0.0000000000 0.0000000000 0.2418769449 3.4623651505
45.7882652283 69.1722946167 -11.6338100433 19.3902912140 0.0000000000 0.0000000000 0.2437084466 3.4962301254
45.3150138855 68.6006240845 -11.5442771912 19.3412723541 0.0000000000 0.0000000000 0.2454848140 3.5297105312
44.8473739624 68.0341567993 -11.4567747116 19.2881259918 0.0000000000 0.0000000000 0.2472093701 3.5628473759
44.3853378296 67.4728698730 -11.3714447021 19.2323551178 0.0000000000 0.0000000000 0.2488918155 3.5956444740
43.9286994934 66.9167938232 -11.2891616821 19.1756572723 0.0000000000 0.0000000000 0.2505396605 3.6281013489
43.4772796631 66.3659515381 -11.2106475830 19.1190586090 0.0000000000 0.0000000000 0.2521140277 3.6602995396
43.0312576294 65.8200531006 -11.1343736649 19.0621280670 0.0000000000 0.0000000000 0.2536459863 3.6922345161
42.5906143188 65.2787857056 -11.0561065674 19.0047950745 0.0000000000 0.0000000000 0.2551508546 3.7240009308
42.1554107666 64.7419509888 -10.9780874252 18.9502849579 0.0000000000 0.0000000000 0.2566234469 3.7556529045
41.7261428833 64.2091827393 -10.9006557465 18.8963203430 0.0000000000 0.0000000000 0.2580790520 3.7872028351
41.3031044006 63.6802749634 -10.8214035034 18.8438968658 0.0000000000 0.0000000000 0.2595227957 3.8186030388
40.8856887817 63.1555480957 -10.7413759232 18.7926101685 0.0000000000 0.0000000000 0.2609359026 3.8498003483
40.4733314514 62.6352500916 -10.6654043198 18.7430686951 0.0000000000 0.0000000000 0.2623107135 3.8808169365
40.0654449463 62.1194343567 -10.5961608887 18.6959915161 0.0000000000 0.0000000000 0.2636333704 3.9116477966
39.6612777710 61.6083374023 -10.5337877274 18.6494369507 0.0000000000 0.0000000000 0.2649141848 3.9422993660
39.2613372803 61.1016426086 -10.4727220535 18.6026954651 0.0000000000 0.0000000000 0.2661446333 3.9727206230
38.8661651611 60.5991249084 -10.4111442566 18.5585212708 0.0000000000 0.0000000000 0.2673344612 4.0029234886
38.4759140015 60.1006507874 -10.3493776321 18.5150909424 0.0000000000 0.0000000000 0.2684929073 4.0329408646
38.0902328491 59.6063880920 -10.2898855209 18.4736309052 0.0000000000 0.0000000000 0.2696135342 4.0627927780
37.7083091736 59.1167373657 -10.2295904160 18.4319496155 0.0000000000 0.0000000000 0.2706993520 4.0924797058
37.3298797607 58.6315307617 -10.1699323654 18.3887729645 0.0000000000 0.0000000000 0.2717686296 4.1219692230
36.9547843933 58.1508140564 -10.1081666946 18.3426628113 0.0000000000 0.0000000000 0.2728271782 4.1512603760
36.5838623047 57.6740608215 -10.0433187485 18.2929935455 0.0000000000 0.0000000000 0.2738611698 4.1803126335
36.2177238464 57.2007980347 -9.9803762436 18.2421512604 0.0000000000 0.0000000000 0.2748576105 4.2091245651
35.8567390442 56.7307128906 -9.9206666946 18.1921310425 0.0000000000 0.0000000000 0.2758413255 4.2376527786
35.5005798340 56.2638282776 -9.8621101379 18.1433353424 0.0000000000 0.0000000000 0.2768288553 4.2658672333
35.1489028931 55.8003501892 -9.8049345016 18.0964450836 0.0000000000 0.0000000000 0.2778305411 4.2937631607
34.8007659912 55.3408699036 -9.7458925247 18.0506496429 0.0000000000 0.0000000000 0.2788530588 4.3213768005
34.4559516907 54.8855743408 -9.6855297089 18.0065956116 0.0000000000 0.0000000000 0.2799119949 4.3487172127
34.1145706177 54.4345207214 -9.6239156723 17.9628753662 0.0000000000 0.0000000000 0.2809900939 4.3757748604
33.7767257690 53.9875640869 -9.5627765656 17.9196109772 0.0000000000 0.0000000000 0.2820672393 4.4025464058
33.4420967102 53.5446739197 -9.5023612976 17.8773975372 0.0000000000 0.0000000000 0.2831053734 4.4290919304
33.1100387573 53.1060714722 -9.4442567825 17.8368320465 0.0000000000 0.0000000000 0.2840695679 4.4553914070
32.7803573608 52.6716575623 -9.3892116547 17.7999954224 0.0000000000 0.0000000000 0.2849727571 4.4814457893
32.4530830383 52.2414131165 -9.3349103928 17.7668457031 0.0000000000 0.0000000000 0.2858068049 4.5072088242
32.1285591125 51.8150978088 -9.2817983627 17.7365570068 0.0000000000 0.0000000000 0.2865655422 4.5327167511
31.8069534302 51.3926124573 -9.2331027985 17.7093544006 0.0000000000 0.0000000000 0.2872700989 4.5579786301
31.4888610840 50.9738540649 -9.1853294373 17.6820697784 0.0000000000 0.0000000000 0.2879427671 4.5830202103
31.1750965118 50.5584640503 -9.1374225616 17.6530189514 0.0000000000 0.0000000000 0.2886030972 4.6078157425
30.8662052155 50.1461448669 -9.0924139023 17.6228141785 0.0000000000 0.0000000000 0.2892464995 4.6323761940
30.5614986420 49.7370262146 -9.0486555099 17.5896053314 0.0000000000 0.0000000000 0.2898694277 4.6567091942
30.2607765198 49.3310585022 -9.0053615570 17.5564575195 0.0000000000 0.0000000000 0.2904936671 4.6808075905
29.9639244080 48.9283638000 -8.9608516693 17.5234279633 0.0000000000 0.0000000000 0.2910930812 4.7047019005
29.6711635590 48.5289115906 -8.9135761261 17.4904880524 0.0000000000 0.0000000000 0.2916519046 4.7284021378
29.3822364807 48.1327743530 -8.8645353317 17.4570255280 0.0000000000 0.0000000000 0.2921524048 4.7518749237
29.0965137482 47.7399063110 -8.8181381226 17.4238452911 0.0000000000 0.0000000000 0.2926324606 4.7751369476
28.8132209778 47.3506126404 -8.7726535797 17.3917236328 0.0000000000 0.0000000000 0.2931069136 4.7981896400
